what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1490582125843
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1490582126187
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1490582126859
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1490582127328
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490582141250
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490582144859
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490582151734
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1490582154000
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490582159718
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490582159812
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490582162968
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490582163187
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1490582166500
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1490582167812
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490582168203
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490582201296
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1490582208984
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1490582209203
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1490582221718
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1490582223281
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1490582228500
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.1.v201008232129,"org.eclipse.jst.ws.jaxws.ui",1490582237203
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1490582237203
started,bundle,org.eclipse.pde.api.tools,1.0.202.v20100820_r361,"org.eclipse.pde.api.tools",1490582237281
started,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1490582237296
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1490582251031
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1490582251531
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1490582251578
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1490582251625
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1490582251859
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1490582252140
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1490582301125
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490582308781
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1490582311921
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1490582313359
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490582328875
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1490582330468
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1490582331125
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1490582331218
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1490582332078
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1490582332484
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490582333937
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490582333937
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490582334015
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490582338375
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490582343921
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490582345968
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490582350078
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1490582352718
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490582358765
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490582360906
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490582391531
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1490582394156
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490582398859
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1490582401484
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490582409000
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1490582411468
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490582420406
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1490582422421
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490582426093
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490582471312
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1490582473843
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490582480593
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490582480687
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490582482578
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490582487046
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490582487156
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490582499843
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490582499843
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490582499968
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490582505562
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490582523234
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490582567953
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490582588421
started,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1490582591828
started,bundle,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui",1490582591859
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.launchShortcut.run",1490582591890
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1490582595093
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1490582595359
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1490582605343
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490582611718
started,bundle,org.eclipse.ui.cheatsheets,3.4.0.v20100427,"org.eclipse.ui.cheatsheets",1490582648000
started,bundle,org.eclipse.equinox.security.ui,1.0.200.v20100503,"org.eclipse.equinox.security.ui",1490582651906
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1490582652671
started,bundle,org.eclipse.wst.ws.service.policy,1.0.204.v201011011834,"org.eclipse.wst.ws.service.policy",1490582652671
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1490582652765
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1490582652781
started,bundle,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser",1490582653843
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490582659796
started,bundle,org.eclipse.jst.server.core,1.2.101.v20100421,"org.eclipse.jst.server.core",1490582662546
started,bundle,org.eclipse.jst.jee,1.0.302.v201101122300,"org.eclipse.jst.jee",1490582662562
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490582663046
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490582668718
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.properties",1490582668734
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490582677109
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490582679218
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.properties",1490582679234
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490582681625
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490582743203
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1490582748203
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1490582748468
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490582757390
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490582758828
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490582759156
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490582768328
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490582777062
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490582818296
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1490582820093
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1490582843515
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490582844640
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1490582847375
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1490582847625
